account;category;currency;amount;ref_currency_amount;type;payment_type;payment_type_local;note;date;gps_latitude;gps_longitude;gps_accuracy_in_meters;warranty_in_month;transfer;payee;labels;envelope_id;custom_category
Conto Prova;Costi, commissioni;EUR;-9,40;-9,40;Spese;CASH;Contanti;;2025-12-31 12:30:25;;;;0;false;;;8005;false
Deutsche Bank;Software, app, giochi;EUR;-3,04;-3,04;Spese;TRANSFER;Bonifico bancario;DEL 31/12/25 IN ITALIA, Valuta EUR Paese Italia, VISA CONS DEB, Causale Movimento: (9;2025-12-31 01:00:23;;;;0;false;;;7003;false
